study_x,plot,tree,unique_id,tph,age,volume_m,predicted_volume_m,model
RH,1110,22,RH-1110-22,618,12,0.366200372,0.348249781,RF
RH,1110,22,RH-1110-22,618,13,0.445758542,0.461212654,RF
RH,1110,22,RH-1110-22,618,14,0.5289256,0.487641327,RF
RH,1110,22,RH-1110-22,618,15,0.604417595,0.588892221,RF
RH,1110,23,RH-1110-23,618,9,0.225411093,0.22601909,RF
RH,1110,23,RH-1110-23,618,10,0.307895276,0.287480114,RF
RH,1110,23,RH-1110-23,618,11,0.355455409,0.350764112,RF
RH,1110,23,RH-1110-23,618,12,0.475920644,0.435941299,RF
RH,1110,23,RH-1110-23,618,13,0.581089834,0.588828297,RF
RH,1110,23,RH-1110-23,618,14,0.6890169,0.618772009,RF
RH,1110,23,RH-1110-23,618,15,0.767107552,0.738387443,RF
RH,1110,24,RH-1110-24,618,9,0.221919761,0.228860659,RF
RH,1110,24,RH-1110-24,618,10,0.308733075,0.281976716,RF
RH,1110,24,RH-1110-24,618,11,0.375447707,0.365398184,RF
RH,1110,24,RH-1110-24,618,12,0.443138629,0.41711316,RF
RH,1110,24,RH-1110-24,618,13,0.544724514,0.576641803,RF
RH,1110,24,RH-1110-24,618,14,0.670984284,0.621659049,RF
RH,1110,24,RH-1110-24,618,15,0.74816429,0.732035801,RF
RH,1110,25,RH-1110-25,618,9,0.262886568,0.245601753,RF
RH,1110,25,RH-1110-25,618,10,0.367034367,0.324624682,RF
RH,1110,25,RH-1110-25,618,11,0.466231813,0.421357803,RF
RH,1110,25,RH-1110-25,618,12,0.553294558,0.490546869,RF
RH,1110,25,RH-1110-25,618,13,0.67977235,0.64938563,RF
RH,1110,25,RH-1110-25,618,14,0.816457086,0.705845189,RF
RH,1110,25,RH-1110-25,618,15,0.886867398,0.858325212,RF
RH,1110,26,RH-1110-26,618,9,0.040571185,0.046103379,RF
RH,1110,26,RH-1110-26,618,10,0.047764497,0.048550937,RF
RH,1110,26,RH-1110-26,618,11,0.053034959,0.060568092,RF
RH,1110,26,RH-1110-26,618,12,0.061675874,0.063046741,RF
RH,1110,26,RH-1110-26,618,13,0.061675874,0.070182776,RF
RH,1110,26,RH-1110-26,618,14,0.071224258,0.071951061,RF
RH,1110,26,RH-1110-26,618,15,0.074613233,0.07492914,RF
RH,1110,27,RH-1110-27,618,9,0.032257427,0.033981102,RF
RH,1110,27,RH-1110-27,618,10,0.036236191,0.036117919,RF
RH,1110,27,RH-1110-27,618,11,0.040571185,0.04422793,RF
RH,1110,27,RH-1110-27,618,12,0.04527294,0.046748858,RF
RH,1110,27,RH-1110-27,618,13,0.047764497,0.054419922,RF
RH,1110,27,RH-1110-27,618,14,0.053034959,0.055803963,RF
RH,1110,27,RH-1110-27,618,15,0.05581614,0.057423392,RF
RH,1110,28,RH-1110-28,618,9,0.34260658,0.29775561,RF
RH,1110,28,RH-1110-28,618,10,0.423396672,0.351950349,RF
RH,1110,28,RH-1110-28,618,11,0.481831919,0.438871795,RF
RH,1110,28,RH-1110-28,618,12,0.575748263,0.50208083,RF
RH,1110,28,RH-1110-28,618,13,0.597556076,0.600927641,RF
RH,1110,28,RH-1110-28,618,14,0.664816487,0.624686266,RF
RH,1110,28,RH-1110-28,618,15,0.722765998,0.688990752,RF
RH,1110,29,RH-1110-29,618,9,0.293589176,0.242719753,RF
RH,1110,29,RH-1110-29,618,10,0.359820368,0.292424483,RF
RH,1110,29,RH-1110-29,618,11,0.423396672,0.3637047,RF
RH,1110,29,RH-1110-29,618,12,0.49190749,0.425265531,RF
RH,1110,29,RH-1110-29,618,13,0.564966325,0.546668124,RF
