age_group,feature,pct_increase_in_mse,model
12,CI_Z,95.44233235,RF
12,CI_mCDst,58.79153151,RF
12,CI_LAI,7.925234378,RF
12,CI_HTLC,14.79606778,RF
12,CI_under,14.72650662,RF
12,CI_under2,3.250626774,RF
12,CI_vol1,13.87031016,RF
12,CI_vol2,7.827592339,RF
12,CI_vol3,5.171486676,RF
12,CI_vol4,5.329235588,RF
12,CI_vol5,6.321971591,RF
12,CI_sfa1,6.523860637,RF
12,CI_sfa2,5.121180626,RF
12,CI_sfa3,5.242080023,RF
12,CI_sfa4,5.048989703,RF
12,CI_sfa5,6.052521866,RF
12,SILVA1,30.24326743,RF
12,SILVA2,20.94363235,RF
12,age,-1.46E-16,RF
13,Carea,153.688706,RF
13,mCDst,21.48016146,RF
13,Z,192.4259935,RF
13,CArea_1,12.61899141,RF
13,htlc,17.695392,RF
13,CLAI,9.224312767,RF
13,vol1,6.823760871,RF
13,vol2,6.863262971,RF
13,vol3,5.789339285,RF
13,vol4,15.24726156,RF
13,vol5,178.1703668,RF
13,sfa1,9.014618401,RF
13,sfa2,25.95283189,RF
13,sfa3,11.50065263,RF
13,sfa4,12.8365025,RF
13,sfa5,92.87599161,RF
13,UndTF,0.579800414,RF
13,UndPrp,5.048847023,RF
13,CI_Carea,85.227403,RF
13,CI_CArea_1,7.712016685,RF
13,CI_Z,207.7553343,RF
13,CI_mCDst,59.11569127,RF
13,CI_LAI,8.063362477,RF
13,CI_HTLC,11.92128237,RF
13,CI_under,14.69070146,RF
13,CI_under2,2.613811306,RF
13,CI_vol1,14.25209648,RF
13,CI_vol2,7.020112722,RF
13,CI_vol3,4.934826006,RF
13,CI_vol4,4.970198533,RF
13,CI_vol5,6.063970146,RF
13,CI_sfa1,6.592289169,RF
13,CI_sfa2,5.657981629,RF
13,CI_sfa3,5.278092587,RF
13,CI_sfa4,4.650512187,RF
13,CI_sfa5,6.234257275,RF
13,SILVA1,34.29892234,RF
13,SILVA2,18.49088509,RF
13,age,-4.67E-15,RF
14,Carea,173.8812054,RF
14,mCDst,25.76838809,RF
14,Z,191.0619249,RF
14,CArea_1,12.4330959,RF
14,htlc,17.98125654,RF
14,CLAI,10.84552908,RF
14,vol1,7.896255817,RF
14,vol2,7.800876833,RF
14,vol3,6.721692517,RF
14,vol4,16.89362058,RF
14,vol5,187.7037779,RF
14,sfa1,10.22332228,RF
14,sfa2,28.15114942,RF
14,sfa3,12.63082139,RF
14,sfa4,15.32258828,RF
14,sfa5,102.8187018,RF
14,UndTF,0.713237605,RF
14,UndPrp,5.2698295,RF
14,CI_Carea,87.48289541,RF
14,CI_CArea_1,8.520482076,RF
14,CI_Z,207.8425944,RF
14,CI_mCDst,64.25744038,RF
