treeID,study,volume_m_21,prediction_m,plot.x,reps,tph,model
29,"Reynolds, VA",0.138186221,0.283470119,3431,3,1853,SVR
54,"Reynolds, VA",0.138324731,0.172095596,4421,4,1236,SVR
52,"Reynolds, VA",0.138335617,0.10011007,1110,1,618,SVR
5,"Reynolds, VA",0.138521832,0.24939547,1621,1,1236,SVR
15,"Reynolds, VA",0.138867927,0.129389625,1520,1,1236,SVR
10,"Reynolds, VA",0.13904103,0.152921125,2320,2,1236,SVR
55,"Reynolds, VA",0.139081536,0.204377022,2630,2,1853,SVR
72,"Reynolds, VA",0.139220675,0.161670644,4110,4,618,SVR
60,"Reynolds, VA",0.139428146,0.202085146,4531,4,1853,SVR
58,"Reynolds, VA",0.140659686,0.275645839,1430,1,1853,SVR
19,"Reynolds, VA",0.14142087,0.180920656,3430,3,1853,SVR
23,"Reynolds, VA",0.141718754,0.185182333,2630,2,1853,SVR
35,"Reynolds, VA",0.141880202,0.209468729,1330,1,1853,SVR
41,"Reynolds, VA",0.141894535,0.152971718,3530,3,1853,SVR
50,"Reynolds, VA",0.141904382,0.320535243,2531,2,1853,SVR
34,"Reynolds, VA",0.142000589,0.313370071,3431,3,1853,SVR
22,"Reynolds, VA",0.143281529,0.177038637,3321,3,1236,SVR
12,"Reynolds, VA",0.143820472,0.262190953,4620,4,1236,SVR
9,"Reynolds, VA",0.143958255,0.3100281,2320,2,1236,SVR
31,"Reynolds, VA",0.144006638,0.191486274,1330,1,1853,SVR
46,"Reynolds, VA",0.144638626,0.128359617,2621,2,1236,SVR
75,"Reynolds, VA",0.145361406,0.379273326,2130,2,1853,SVR
71,"Reynolds, VA",0.145725905,0.164043916,3430,3,1853,SVR
28,"Reynolds, VA",0.145878067,0.398737286,1131,1,1853,SVR
74,"Reynolds, VA",0.145885403,0.163031066,4210,4,618,SVR
40,"Reynolds, VA",0.145980124,0.232342727,4520,4,1236,SVR
69,"Reynolds, VA",0.14675572,0.214855995,3231,3,1853,SVR
51,"Reynolds, VA",0.148627315,0.233442275,2131,2,1853,SVR
47,"Reynolds, VA",0.148715131,0.331900692,4531,4,1853,SVR
26,"Reynolds, VA",0.148717773,0.172678064,2420,2,1236,SVR
5,"Reynolds, VA",0.149891146,0.134944117,1410,1,618,SVR
54,"Reynolds, VA",0.150316091,0.240548199,2110,2,618,SVR
49,"Reynolds, VA",0.150581559,0.159831912,2221,2,1236,SVR
54,"Reynolds, VA",0.150823347,0.255828664,3421,3,1236,SVR
